District,Interval_Start,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month
Bardiya,7/22/2014,28.3,81.4,3.562749837,94.74681907,11.13529719,52.3097518,24.18782495,12.36731548,30.20079033,19.22996734,10.97068583,23.56035924,2.268967995,3.961469628,0.810960157,3.150502939,3.07793599,4.772534291,1.175591117,3.596903984,2014,7
Bardiya,9/30/2018,28.3,81.4,2.894376368,94.93150985,10.79894967,58.12448578,22.31052516,12.56466083,28.10227571,17.52301969,10.57956236,21.54037199,2.118008753,3.671772429,0.731816193,2.939715536,2.866236324,4.50619256,1.02868709,3.478052516,2018,9
Bhaktapur,1/1/1981,27.7,85.5,1.898093995,77.93791123,7.298714099,56.74321149,12.15704308,2.318224543,18.00474543,7.774915144,10.22997389,11.66568538,2.21212141,4.982075718,0.436749347,4.545267624,2.193975196,4.337362924,0.570287206,3.76694517,1981,1
Bhaktapur,3/12/1985,27.7,85.5,1.87424282,77.95765013,7.241351175,55.30552219,12.88810705,2.346860313,18.78337467,8.349438642,10.4339752,12.53268277,2.264471279,4.970620104,0.463152742,4.507291123,2.241116188,4.30133812,0.60078329,3.700469974,1985,3
Bhaktapur,5/22/1989,27.7,85.5,1.521005222,77.96756527,7.402206266,54.080953,13.15632507,2.496018277,19.14075718,8.627761097,10.5132376,13.06761749,2.306899478,5.137251958,0.43035248,4.706912533,2.260300261,4.423453003,0.557950392,3.86575718,1989,5
Bhaktapur,8/1/1993,27.7,85.5,1.328244125,77.9587859,7.315541775,52.97761749,13.15087467,2.083922977,19.22321149,8.613374674,10.60986292,13.02480418,2.317154047,5.212813316,0.431533943,4.781148825,2.273178851,4.516116188,0.563211488,3.95270235,1993,8
Bhaktapur,10/11/1997,27.7,85.5,1.360280679,77.96530679,7.368191906,53.45366841,13.11148172,2.027480418,19.16793081,8.681840731,10.48609661,12.85568538,2.265626632,5.118067885,0.444941253,4.673048303,2.20843342,4.394575718,0.575626632,3.819027415,1997,10
Bhaktapur,12/21/2001,27.7,85.5,1.944131854,78.00921671,7.563936031,58.09843995,12.60045039,3.047780679,18.43879896,8.247950392,10.19091384,12.11777415,2.185665796,4.865535248,0.431546997,4.433922977,2.145515666,4.178178851,0.555117493,3.623172324,2001,12
Bhaktapur,3/2/2006,27.7,85.5,2.543981723,77.98850522,8.149223238,62.29488251,12.8760705,4.242832898,18.39934073,8.655013055,9.744131854,12.44095953,2.153896867,4.72323107,0.44404047,4.279105744,2.127043081,4.057336815,0.575332898,3.481840731,2006,3
Bhaktapur,5/12/2010,27.7,85.5,2.964210183,77.94263055,8.436436031,64.59234987,12.83080287,4.873204961,18.23421671,8.637584856,9.596586162,12.43616841,2.213028721,4.787519582,0.49404047,4.293570496,2.21618799,4.189921671,0.648113577,3.541971279,2010,5
